Client Unique ID,Client ID,Client Age at Entry,Client Age at Exit,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status,age_cat,race_cat,ethnicity_cat,veteran_cat
aslm02221970a415s462,324453,45.0,45.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
cohf02011960c530o355,395548,55.0,55.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
wbam07171966w450b650,393111,49.0,49.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
wdvm11221964w400d120,379956,50.0,50.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
kfom03291989k150f462,397202,26.0,26.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
rfrm06071966r240f630,251488,49.0,49.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rhym06251954r150h200,395541,61.0,61.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,60 to 64 years,Black or African American,Not Hispanic or Latino,Non veteran
jhim10091961j160h520,381870,53.0,53.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
ahdm01191962a415h320,392383,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
jjcm07251979j150j250,318262,36.0,36.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
tmtm07191957t520m320,381470,58.0,58.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,55 to 59 years,Black or African American,Not Hispanic or Latino,Civilian veteran
csnm11301988c623s524,309651,26.0,26.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
dwom08041978d640w320,333120,37.0,37.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
wbsf12081963w530b200,373187,51.0,52.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
ybuf11221969y453b326,362567,45.0,45.0,Female,White ,Hispanic/Latino ,No ,45 to 54 years,White,Hispanic or Latino (of any race),Non veteran
cbwf05101957c645b420,158414,58.0,58.0,Female,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
tclf10151991t200c400,401630,23.0,23.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
ekaf09131961e450k516,401763,53.0,53.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
tkuf12011960t620k451,314853,54.0,54.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
clnf07121973c623l520,400077,42.0,42.0,Female,White ,Data not collected ,No ,35 to 44 years,White,Data not collected,Non veteran
mtof06051963m520t520,386115,52.0,52.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
kbtm07131957k640b352,399904,58.0,58.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
abam05181974a412b653,394031,41.0,41.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
bcmm11301974b400c565,402258,40.0,40.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
ddam04221992d130d616,403050,23.0,23.0,Male,American Indian or Alaska Native ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,American Indian and Alaska Native,Not Hispanic or Latino,Non veteran
ddkm12061967d150d220,383149,47.0,47.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
ghrm10261976g620h635,387590,38.0,38.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
jlem07261968j160l000,403483,47.0,47.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rlom05011950r543l300,224787,65.0,65.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,65 to 74 years,Black or African American,Not Hispanic or Latino,Non veteran
rlom01081964r543l300,225552,51.0,51.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
gmrm08241953g600m650,392386,61.0,62.0,Male,American Indian or Alaska Native ,Non-Hispanic/Non-Latino ,No ,60 to 64 years,American Indian and Alaska Native,Not Hispanic or Latino,Non veteran
smom09231995s500m600,262238,19.0,19.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,15 to 19 years,Black or African American,Not Hispanic or Latino,Non veteran
rmrm06041956r263m620,384147,59.0,59.0,Male,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
lpim11051951l530p412,403049,63.0,63.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,60 to 64 years,Black or African American,Not Hispanic or Latino,Non veteran
rqim01121968r263q620,361597,47.0,48.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
crnm07221992c642r500,365130,23.0,23.0,Male,White ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,White,Not Hispanic or Latino,Non veteran
hrym10231959h600r236,382672,55.0,56.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
hsom12061972h643s252,397312,42.0,42.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
vwlm03311981v524w452,156978,34.0,34.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
hgrf06161964h450g625,398931,51.0,51.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
krcf06291962k300r263,399459,53.0,53.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
cbom04071962c465b650,384776,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
cclm10171961c623c434,333631,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
gcom05261963g635c160,166457,52.0,52.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
mdum02261986m240d320,219392,29.0,29.0,Male,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
kdrm12171954k300d655,397427,60.0,60.0,Male,White ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,White,Not Hispanic or Latino,Civilian veteran
pedm09021963p400e436,187276,51.0,51.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rhlm01241960r410h400,217836,55.0,55.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
bhrm01101968b350h632,190759,47.0,47.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
djhm10151956d242j525,397646,58.0,58.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
klmm02161978k623l550,402256,37.0,37.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
smlm03301954s540m415,296887,61.0,61.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,60 to 64 years,Black or African American,Not Hispanic or Latino,Non veteran
msam12051979m300s160,381763,35.0,35.0,Male,White ,Non-Hispanic/Non-Latino ,Yes ,35 to 44 years,White,Not Hispanic or Latino,Civilian veteran
dtom12301973d500t512,195489,41.0,41.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
jwlm02141955j520w452,143061,60.0,60.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,Black or African American,Not Hispanic or Latino,Civilian veteran
kcnm07201985k400c530,399250,30.0,30.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
clem02131977c465l000,406857,38.0,38.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
rgrm08211962r550g620,181734,52.0,53.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
blem11211971b630l000,162076,43.0,43.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
eklm08011990e640k400,208663,25.0,25.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
jltm10031997j650l340,402257,22.0,22.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
thrm10171984t652h620,407754,30.0,30.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
bcnm04251957b620c552,407001,58.0,58.0,Male,White ,Non-Hispanic/Non-Latino ,Yes ,55 to 59 years,White,Not Hispanic or Latino,Civilian veteran
dcum03161963d650c140,405094,52.0,52.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
mmtm07161964m650m324,319129,51.0,51.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rslm01211971r400s426,406576,44.0,44.0,Male,White ,Hispanic/Latino ,No ,35 to 44 years,White,Hispanic or Latino (of any race),Non veteran
rcrm05281947r263c600,330427,68.0,68.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,65 to 74 years,Black or African American,Not Hispanic or Latino,Non veteran
ambm09111955a535m150,10107,59.0,59.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
blnm02271951b400l500,167439,64.0,64.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,Black or African American,Not Hispanic or Latino,Civilian veteran
rhnm04081961r163h536,203783,54.0,54.0,Male,Black or African American ,Hispanic/Latino ,No ,45 to 54 years,Black or African American,Hispanic or Latino (of any race),Non veteran
llem01061957l600l000,351504,58.0,58.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,55 to 59 years,Black or African American,Not Hispanic or Latino,Civilian veteran
jlnm03211951j520l500,167911,64.0,64.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,Black or African American,Not Hispanic or Latino,Civilian veteran
flem04051964f430l000,316159,51.0,51.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rwlm03181964r254w452,402130,51.0,51.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
lprm02161976l652p636,387703,39.0,39.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
hrwm05121962h560r500,370346,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
apum12021961a160p520,280121,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
sadm04041963s310a536,403361,52.0,52.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,45 to 54 years,Black or African American,Not Hispanic or Latino,Civilian veteran
kfam06191978k150f626,403936,37.0,37.0,Male,White ,Non-Hispanic/Non-Latino ,Yes ,35 to 44 years,White,Not Hispanic or Latino,Civilian veteran
gbom05241965g626b650,373323,50.0,50.0,Male,American Indian or Alaska Native ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,American Indian and Alaska Native,Not Hispanic or Latino,Non veteran
fhwm04241971f636h400,404041,44.0,44.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
pimm10111970p400i550,281794,44.0,44.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
asom03261979a650s300,288078,36.0,36.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
vptm05261962v525p355,253473,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
esom09221958e430s324,128049,56.0,56.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
crnm07221992c642r500,365130,23.0,23.0,Male,White ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,White,Not Hispanic or Latino,Non veteran
mbrm01261965m240b652,399024,50.0,50.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
dbrm11191967d130b653,294505,47.0,47.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
tpam03121976t500p625,408793,39.0,39.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
tlnm11091974t650l536,169662,40.0,40.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
cjnm05161982c642j525,368692,33.0,33.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
jhrm11251957j520h622,395939,57.0,58.0,Male,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
bcmm11301974b400c565,402258,40.0,40.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
cclm10171961c623c434,333631,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
trbf10271990t500r152,172864,24.0,25.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
evlf02121969e421v450,404523,46.0,46.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
cdlf06121971c530d423,408496,44.0,44.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
aprf10051971a535p600,278004,43.0,43.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
acuf12011983a425c340,408494,31.0,31.0,Female,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
ktrf02031971k516t620,375893,44.0,44.0,Female,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
rjhf04061995r240j525,399340,20.0,20.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
jwtf11171983j253w325,173737,31.0,32.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
lrsf12151958l150r200,106155,56.0,56.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
lmtf12171965l530m324,275835,49.0,50.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
jlnf11081966j330l536,313400,48.0,48.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
afaf08241984a240f652,260878,30.0,31.0,Female,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
ddvf09031961d435d150,409235,53.0,53.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rewm10271953r500e363,407019,61.0,61.0,Male,White ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,White,Not Hispanic or Latino,Civilian veteran
dmcm05051983d540m260,169422,32.0,32.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
asim04241973a350s560,409236,42.0,42.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
wtrm11011964w436t600,65851,50.0,50.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
gcum09151960g626c625,409062,34.0,34.0,Male,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
kwif10091964k623w200,167279,50.0,50.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
jhlf07261988j245h400,373731,27.0,27.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
cclm10171961c623c434,333631,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
apum12021961a160p520,280121,53.0,53.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
rcam05241959r200c620,291392,56.0,56.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,55 to 59 years,Black or African American,Not Hispanic or Latino,Civilian veteran
mjnm11161965m623j520,378313,49.0,49.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
tmkm12311958t650m200,103533,56.0,56.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,Black or African American,Not Hispanic or Latino,Non veteran
lwlm10211974l600w452,231530,40.0,40.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
lwlm10211974l600w452,231530,40.0,40.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
wbom01251964w450b620,123122,51.0,51.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
rcrm05281947r263c600,330427,68.0,68.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,65 to 74 years,Black or African American,Not Hispanic or Latino,Non veteran
ssim04121988s500s600,409450,27.0,27.0,Male,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
ieem02031993i200e163,403186,22.0,22.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
rknm11131982r500k520,194903,32.0,32.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
mwam03161988m240w160,157272,27.0,27.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
ebaf02031992e620b240,322709,23.0,23.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,20 to 24 years,Black or African American,Not Hispanic or Latino,Non veteran
jgim06241960j500g520,409587,55.0,55.0,Male,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
bcmm11301974b400c565,402258,40.0,41.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
hhlm09031950h600h400,3953,64.0,64.0,Male,Black or African American ,Client refused ,No ,60 to 64 years,Black or African American,Client refused,Non veteran
jbrm11011937j500b635,409686,77.0,77.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,75 to 84 years,Black or African American,Not Hispanic or Latino,Non veteran
jhlf09011977j516h452,207787,37.0,38.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
jmtf06081959j530m324,157088,56.0,56.0,Female,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
isrm06251974i220s164,160586,41.0,41.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
csnt04121985c415s536,300905,30.0,30.0,Trans Female (MTF or Male to Female),Black or African American ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,Black or African American,Not Hispanic or Latino,Non veteran
smom09231995s500m600,262238,19.0,19.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,15 to 19 years,Black or African American,Not Hispanic or Latino,Non veteran
swlm12231986s500w416,408051,28.0,28.0,Male,White ,Non-Hispanic/Non-Latino ,No ,25 to 34 years,White,Not Hispanic or Latino,Non veteran
jflm01271954j520f450,403469,61.0,61.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,Yes ,60 to 64 years,Black or African American,Not Hispanic or Latino,Civilian veteran
dmaf02121960d500m241,409782,55.0,55.0,Female,White ,Non-Hispanic/Non-Latino ,No ,55 to 59 years,White,Not Hispanic or Latino,Non veteran
jwlf06051977j400w452,409781,38.0,39.0,Female,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
tkuf12011960t620k451,314853,54.0,55.0,Female,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
frcm04011947f630r263,190642,68.0,68.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,65 to 74 years,Black or African American,Not Hispanic or Latino,Non veteran
kmnm09121967k530m560,76511,47.0,47.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,Black or African American,Not Hispanic or Latino,Non veteran
wsem11301951w450s363,90711,63.0,63.0,Male,Black or African American ,Non-Hispanic/Non-Latino ,No ,60 to 64 years,Black or African American,Not Hispanic or Latino,Non veteran
cfem11021961c640f455,157473,53.0,53.0,Male,White ,Non-Hispanic/Non-Latino ,No ,45 to 54 years,White,Not Hispanic or Latino,Non veteran
rbrm06291979r100b616,371777,36.0,36.0,Male,White ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,White,Not Hispanic or Latino,Non veteran
fcrm07141964f652c635,346065,51.0,51.0,Male,White ,Hispanic/Latino ,No ,45 to 54 years,White,Hispanic or Latino (of any race),Non veteran
mbyf11101970m620b625,280218,44.0,44.0,Female,Black or African American ,Non-Hispanic/Non-Latino ,No ,35 to 44 years,Black or African American,Not Hispanic or Latino,Non veteran
